a	ā,ə, yek
adjourns	əˈjərn, tarloqkirin
adjust	əˈjəst, lihevanîn
adjustable	əˈjəstəbəl, lêtê
adjusted	verb, lihevanîn
adjusting	verb, lihevanîn
adjustment	əˈjəstmənt, lêanî
adjustments	əˈjəstmənt, lêanî
adjusts	verb, lihevanîn
administer	ədˈminəstər, birêvebirin
administered	verb, birêvebirin
administering	verb, birêvebirin
administers	ədˈminəstər, birêvebirin
administration	ədˌminəˈstrāSHən, birêvebirî
administrations	noun, birêvebirî
administrator	ədˈminəˌstrātər, birêvebir
administrators	noun, birêvebir
admirable	ˈadmərəbəl, qeşeng
admiral	ˈadmərəl, amîral
admirals	noun, amîral
admiration	ˌadməˈrāSHən, dilpêmayî
admirations	ˌadməˈrāSHən, dilpêmayî
admire	ədˈmī(ə)r, lêşaşman
admired	verb, lêşaşman
admires	ədˈmī(ə)r, lêşaşman
admiring	verb, lêşaşman
admissible	ədˈmisəbəl, dibe
admission	ədˈmiSHən, ketina nav
admissions	noun, ketina nav
admit	ədˈmit, mûkirhatin
admits	verb, mûkirhatin
admittance	ədˈmitns, berdana
admittances	ədˈmitns, berdana
admitted	verb, mûkirhatin
admitting	verb, mûkirhatin
adolescence	ˌadlˈesəns, xortî
adolescent	ˌadlˈesənt, xort
adolescents	noun, xort
adopt	əˈdäpt, xwerezarokgirtin
adopted	adjective, xwedîkirî
adopting	verb, xwerezarokgirtin
adoption	əˈdäpSHən, zarokgirtinî
adoptions	əˈdäpSHən, zarokgirtinî
adopts	verb, xwerezarokgirtin
adorable	əˈdôrəbəl, şahî
adore	əˈdôr, limêjkirin
adored	verb, limêjkirin
adores	əˈdôr, limêjkirin
adoring	verb, limêjkirin
adorn	əˈdôrn, xemilandin
adorned	verb, xemilandin
adorning	verb, xemilandin
adorns	əˈdôrn, xemilandin
adrift	əˈdrift, tolazgerî
adult	əˈdəlt,ˈadˌəlt, gihîştin
adulteries	əˈdəlt(ə)rē, marşikandinî
adultery	əˈdəlt(ə)rē, marşikandinî
adults	noun, gihîştî
advance	ədˈvans, pêşveçûn
advanced	ədˈvanst, pêşveçû
advancement	ədˈvansmənt, barkirin
advancements	ədˈvansmənt, barkirin
advances	verb, pêşveçûn
advancing	verb, pêşveçûn
advantage	ədˈvantij, berjewendî
advantageous	ˌadvənˈtājəs, bi berjewendî
advantages	noun, berjewendî
adventure	adˈvenCHər,əd-, serpêhatî
adventurer	adˈvenCHərər,əd-, macerahez
adventurers	noun, macerahez
adventures	noun, serpêhatî
adverb	ˈadˌvərb, rengpêş
adverbs	noun, rengpêş
adversaries	noun, neyar
adversary	ˈadvərˌserē, neyar
adverse	adˈvərs,ˈadvərs, neyare
advertise	ˈadvərˌtīz, gilîkirin
advertised	verb, gilîkirin
advertisement	ədˈvərtiz-,ˈadvərˌtīzmənt, gilî
advertisements	noun, gilî
advertises	ˈadvərˌtīz, gilîkirin
advertising	ˈadvərˌtīziNG, reqlam
advice	ədˈvīs, şêwr
advices	ədˈvīs, şêwr
advisable	ədˈvīzəbəl, pêşnîyarbar
advise	ədˈvīz, şêwirîn
advised	ədˈvīzd, şêwirîn
adviser	ədˈvīzər, şêwirvan
advisers	ədˈvīzər, şêwirvan
advises	verb, şêwirîn
advising	verb, şêwirîn
advocate	, pêşnîyarkirin
advocated	verb, pêşnîyarkirin
advocates	verb, pêşnîyarkirin
advocating	verb, pêşnîyarkirin
aerial	ˈe(ə)rēəl, bi firrê
aeroplane	noun, balafir
aeroplanes	noun, balafir
affair	əˈfe(ə)r, karûbar
affairs	noun, karûbar
affect	əˈfekt,ˈafekt, raydakirin
affected	əˈfektid, fenî
affecting	əˈfektiNG, raydakirin
affection	əˈfekSHən, hezkirin
affectionate	əˈfekSHənit, dilane
affections	noun, hezkirin
affects	verb, raydakirin
affidavit	ˌafiˈdāvit, beyana bi sond
affidavits	ˌafiˈdāvit, beyana bi sond
affirm	əˈfərm, bawerdayin
affirmative	əˈfərmətiv, pêgûmananîn
affirmed	verb, bawerdayin
affirming	verb, bawerdayin
affirms	əˈfərm, bawerdayin
affix	, pêvgirêdan
affixed	verb, pêvgirêdan
affixes	, pêvgirêdan
affixing	verb, pêvgirêdan
afflict	əˈflikt, dilêşandin
afflicted	verb, dilêşandin
afflicting	verb, dilêşandin
affliction	əˈflikSHən, dilêş
afflictions	noun, dilêş
afflicts	əˈflikt, dilêşandin
affluence	ˈaflo͞oəns, dewlemendî
affluent	əˈflo͞o-,ˈaflo͞oənt, dewlemed
afford	əˈfôrd, ji xwere kanîn
afforded	verb, ji xwere kanîn
affording	verb, ji xwere kanîn
affords	verb, ji xwere kanîn
afloat	əˈflōt, ajnêwar
afraid	əˈfrād, tirsane
Africa	ˈafrikə, Efrîka
African	ˈafrikən, efrîkanî
Africans	noun, efrîkanî
after	ˈaftər, ber bi
afternoon	ˌaftərˈno͞on, piştînîvroj
afternoons	noun, piştînîvroj
afterwards	adverb, paşan
again	əˈgen,əˈgān, dîsa
against	əˈgenst,əˈgānst, dijî
age	āj, sal
aged	verb, kalbûn
agencies	noun, ajans
agency	ˈājənsē, ajans
agenda	əˈjendə, naverok
agendas	noun, naverok
agent	ˈājənt, casus
ages	noun, sal
aggravate	ˈagrəˌvāt, xirabkirin
aggravated	ˈagrəˌvātid, xirabkirin
aggravates	ˈagrəˌvāt, xirabkirin
aggravating	adjective, acizker
aggravation	ˌagrəˈvāSHən, xirabbûyî
aggravations	ˌagrəˈvāSHən, xirabbûyî
aggression	əˈgreSHən, êrişbazî
aggressions	əˈgreSHən, êrişbazî
aggressive	əˈgresiv, êrşişbaz
aggressor	əˈgresər, êrişkir
aggressors	əˈgresər, êrişkir
agitate	ˈajiˌtāt, acizkirin
agitated	ˈajiˌtātid, acizkirin
agitates	ˈajiˌtāt, acizkirin
agitating	verb, acizkirin
a go	əˈgō, pêşî
ago	əˈgō, pêşî
agonies	ˈagənē, êş
agony	ˈagənē, êş
agree	əˈgrē, qebûlkirin
agreeable	əˈgrēəbəl, xweş
agreed	əˈgrēd, lihevhati
agreeing	verb, qebûlkirin
agreement	əˈgrēmənt, lihevhatin
agreements	noun, lihevhatin
agrees	verb, qebûlkirin
agricultural	ˌagriˈkəlCHərəl, cotarî
agriculture	ˈagriˌkəlCHər, cotyarî
agricultures	ˈagriˌkəlCHər, cotyarî
ahead	əˈhed, pêşve
aid	ād, alîkirin
aide	ād, alîkar
aided	verb, alîkirin
aides	noun, alîkar
aiding	verb, alîkirin
ailment	ˈālmənt, êş
ailments	noun, êş
aim	ām, armancgirtin
aimed	verb, armancgirtin
aiming	verb, armancgirtin
aims	verb, armancgirtin
air	e(ə)r, hewa
aircraft	ˈe(ə)rˌkraft, firrok
air force	noun, hêza hewayî
air line	noun, şîrketa balafiran
airline	ˈe(ə)rˌlīn, şîrketa balafiran
airmail	ˈe(ə)rˌmāl, posta balafir
airplane	ˈe(ə)rˌplān, balafir
airplanes	noun, balafir
airport	ˈe(ə)rˌpôrt, balafirgeh
air raid	noun, êrişa hewayî
airs	noun, hewa
aisle	īl, fitêsa
aisles	noun, fitêsa
alarm	əˈlärm, hawar
alarm clock	, demjimara şîyarker
alarming	əˈlärmiNG, acizane
alarms	noun, hawar
alba	ˈalbə, albûm
album	ˈalbəm, albûm
albums	noun, albûm
alcohol	-ˌhäl,ˈalkəˌhôl, alkol
alcoholic	-ˈhäl-,ˌalkəˈhôlik, alkolgir
alcoholics	noun, alkolgir
alcoholism	-hä-,ˈalkəhôˌlizəm, alkolgirî
alcohols	-ˌhäl,ˈalkəˌhôl, alkol
alert	əˈlərt, gazîdayin
alerted	verb, gazîdayin
alerter	əˈlərt, hişyar
alerting	verb, gazîdayin
alerts	əˈlərt, gazîdayin
alias	ˈālēəs, navê dizî
aliases	noun, navê dizî
alibi	ˈaləˌbī, delîl
alibis	ˈaləˌbī, delîl
alienate	ˈālyə-,ˈālēəˌnāt, xerîbkirin
alienated	verb, xerîbkirin
alienates	ˈālyə-,ˈālēəˌnāt, xerîbkirin
alienating	ˈālyə-,ˈālēəˌnāt, xerîbkirin
alienation	ˌālyə-,ˌālēəˈnāSHən, xerîbbûyî
alienations	ˌālyə-,ˌālēəˈnāSHən, xerîbbûyî
alight	əˈlīt, daketin
alighted	verb, daketin
alighting	verb, daketin
alights	verb, daketin
align	əˈlīn, berpêvekirin
aligned	verb, berpêvekirin
aligning	verb, berpêvekirin
aligns	əˈlīn, berpêvekirin
alike	əˈlīk, nêzhev
alimonies	ˈaləˌmōnē, debar
alimony	ˈaləˌmōnē, debar
alit	verb, daketin
alive	əˈlīv, jînde
all	ôl, gişt
allegation	ˌaliˈgāSHən, îddîa
allegations	ˌaliˈgāSHən, îddîa
allegedly	əˈlejidlē, qaşo
allegiance	əˈlējəns, dilsozî
allegiances	əˈlējəns, dilsozî
allergic	əˈlərjik, alerjîk
allergies	ˈalərjē, alerjî
allergy	ˈalərjē, alerjî
alley	ˈalē, kûçe
alleys	noun, kûçe
alliance	əˈlīəns, hevkarî
alliances	noun, hevkarî
allied	əˈlīd,ˈalˌīd, hevkar
Allies	noun, hevkar
allies	noun, hevkar
alligator	ˈaliˌgātər, alîgator
alligators	noun, alîgator
allocate	ˈaləˌkāt, pardan
allocated	verb, pardan
allocates	ˈaləˌkāt, pardan
allocating	verb, pardan
allocation	ˌaləˈkāSHən, pardayî
allocations	ˌaləˈkāSHən, pardayî
allot	əˈlät, belakirin
allotment	əˈlätmənt, belakirinî
allotments	noun, belakirinî
allots	əˈlät, belakirin
allotted	verb, belakirin
allotting	verb, belakirin
allow	əˈlou, destûrdan
allowance	əˈlou-əns, heq
allowances	noun, heq
allowed	verb, destûrdan
allowing	verb, destûrdan
allows	verb, destûrdan
alloy	, astarê madenî
alloys	, astarê madenî
allure	əˈlo͝or, dilkişîn
allured	verb, dilkişîn
allures	əˈlo͝or, dilkişîn
alluring	əˈlo͝oriNG, dilkişîn
ally	, hevkar
almighty	ôlˈmītē, kane
almond	ˈa(l)-,ˈä(l)mənd, beîv
almost	ôlˈmōst,ˈôlˌmōst, hema hema
alone	əˈlōn, tenê
along	əˈläNG,əˈlôNG, tenişt
aloud	əˈloud, gor
alphabet	-bit,ˈalfəˌbet, elfabe
alphabetical	ˌalfəˈbetikəl, elfabeyî
alphabets	noun, elfabe
already	ôlˈredē, êdî
also	ˈôlsō, jî
altar	ˈôltər, mêrab
altars	ˈôltər, mêrab
alter	ˈôltər, gûherrandin
alteration	ˌôltəˈrāSHən, gûherte
alterations	ˌôltəˈrāSHən, gûherte
altered	verb, gûherrandin
altering	verb, gûherrandin
alternate	, dorgûherrîn
alternated	, dorgûherrîn
alternates	, dorgûherrîn
alternating	verb, dorgûherrîn
alternative	ôlˈtərnətiv, şûndor
alternatives	noun, şûndor
alters	verb, gûherrandin
although	ôlˈT͟Hō, herçi
altitude	ˈaltiˌt(y)o͞od, bilindayî
altitudes	noun, bilindayî
altogether	ˌôltəˈgeT͟Hər, giştî
aluminium	əˈlo͞omənəm, elemyûn
aluminum	əˈlo͞omənəm, elemyûn
always	-wēz,ˈôlˌwāz, herdem
a.m	auxiliary verb, im
a.m.	auxiliary verb, im
am	auxiliary verb, im
Am.	auxiliary verb, im
amateur	-CHər,-ˌCHo͝or,-ˌtər,ˈamətər, nekarbend
amateurs	noun, nekarbend
amaze	əˈmāz, şaşman
amazed	verb, şaşman
amazement	əˈmāzmənt, şaşmayî
amazements	əˈmāzmənt, şaşmayî
amazes	verb, şaşman
amazing	əˈmāziNG, êcêb
ambassador	-ˌdôr,amˈbasədər, sefîr
ambassadors	noun, sefîr
amber	ˈambər, aqût
ambition	amˈbiSHən, xîret
ambitions	noun, xîret
ambitious	amˈbiSHəs, xîretwar
ambulance	ˈambyələns, ereba nexweşan
ambulances	ˈambyələns, ereba nexweşan
ambush	ˈamˌbo͝oSH, şêlandin
ambushed	verb, şêlandin
ambushes	ˈamˌbo͝oSH, şêlandin
ambushing	verb, şêlandin
amend	əˈmend, serrastkirin
amended	verb, serrastkirin
amending	verb, serrastkirin
amendment	əˈmen(d)mənt, gûhertinî
amendments	noun, gûhertinî
amends	əˈmendz, serrastkirin
America	əˈmerikə, emrîka
American	əˈmerikən, emrîkayî
Americans	noun, emrîkî
amicable	ˈamikəbəl, dostane
ammonia	-nēə,əˈmōnyə, amonyak
ammunition	ˌamyəˈniSHən, cebhane
ammunitions	noun, cebhane
amnesia	amˈnēZHə, hişwendatî
amnesties	ˈamnistē, borîn
amnesty	ˈamnistē, borîn
among	əˈməNG, bin
amount	əˈmount, biha
amounts	noun, biha
ample	ˈampəl, gellek
ampler	ˈampəl, gellek
amplest	ˈampəl, gellek
amplified	verb, xûrtkirin
amplifier	ˈampləˌfīər, geşker
amplifiers	ˈampləˌfīər, geşker
amplifies	ˈampləˌfī, xûrtkirin
amplify	ˈampləˌfī, xûrtkirin
amplifying	verb, xûrtkirin
amputate	ˈampyəˌtāt, jêkirin
amputated	verb, jêkirin
amputates	ˈampyəˌtāt, jêkirin
amputating	ˈampyəˌtāt, jêkirin
amputation	noun, jêkirinî
amputations	noun, jêkirinî
amuse	əˈmyo͞oz, kêfkirin
amused	verb, kêfkirin
amusement	əˈmyo͞ozmənt, kêf
amusements	noun, kêf
amuses	əˈmyo͞oz, kêfkirin
amusing	əˈmyo͞oziNG, pêkene
anaemic	əˈnēmik, xwînkêmî
anaesthetic	ˌanəsˈTHetik, jarepûç
analyse	verb, lêkolîn
analysed	verb, lêkolîn
analyses	noun, lêkolîne
analysis	əˈnaləsis, lêkolîne
analyze	ˈanlˌīz, lêkolîn
analyzed	verb, lêkolîn
analyzes	verb, lêkolîn
anarchies	ˈanərkē, anarşî
anarchy	ˈanərkē, anarşî
anatomies	əˈnatəmē, enatomî
anatomy	əˈnatəmē, enatomî
ancestor	ˈanˌsestər, pêşî
ancestries	ˈanˌsestrē, bapîran
ancestry	ˈanˌsestrē, bapîran
anchor	ˈaNGkər, lenger
anchors	ˈaNGkər, lenger
anchovies	noun, cinsekî masî
anchovy	anˈCHōvē,ˈanˌCHōvē, cinsekî masî
ancient	ˈānCHənt, kevnar
and	and, û
anemic	əˈnēmik, xwînkêmî
anesthetic	ˌanəsˈTHetik, jarepûç
anesthetics	noun, jarepûç
angel	ˈānjəl, milyaket
anger	ˈaNGgər, hêrs
angle	ˈaNGgəl, qozî
angles	noun, qozî
angrier	ˈaNGgrē, hêrsbû
angriest	ˈaNGgrē, hêrsbû
angry	ˈaNGgrē, hêrsbû
animal	ˈanəməl, teba
animate	, jîyandan
animated	ˈanəˌmātid, jîyandan
animates	, jîyandan
animating	verb, jîyandan
animation	ˌanəˈmāSHən, jayandarî
animations	noun, jayandarî
animosities	ˌanəˈmäsitē, dijminatî
animosity	ˌanəˈmäsitē, dijminatî
ankle	ˈaNGkəl, gûzok
ankles	noun, gûzok
annex	, xanîber
annexes	noun, xanîber
annihilate	əˈnī-əˌlāt, qirkirin
annihilated	verb, qirkirin
annihilates	əˈnī-əˌlāt, qirkirin
annihilating	verb, qirkirin
annihilation	noun, qirkirinî
anniversaries	noun, salveger
anniversary	ˌanəˈvərsərē, salveger
announce	əˈnouns, nasdayin
announced	verb, nasdayin
announcement	əˈnounsmənt, daxûyanî
announcements	noun, daxûyanî
announcer	əˈnounsər, pêşkêşker
announcers	əˈnounsər, pêşkêşker
announces	verb, nasdayin
announcing	verb, nasdayin
annoy	əˈnoi, xûlîkirin
annoyance	əˈnoi-əns, hêrs
annoyances	əˈnoi-əns, hêrs
annoyed	, xûlîkirin
annoying	əˈnoi-iNG, hêrsane
annoys	verb, xûlîkirin
annual	ˈanyo͞oəl, yeksalî
annually	ˈanyo͞oəlē, salane
annul	əˈnəl, rakirin
annulled	verb, rakirin
annulling	verb, rakirin
annulment	əˈnəlmənt, bişûndekişandinî
annulments	əˈnəlmənt, bişûndekişandinî
annuls	əˈnəl, rakirin
anonymous	əˈnänəməs, bênav
another	əˈnəT͟Hər, yekî din
answer	ˈansər, bersivdayin
answerable	ˈansərəbəl, berpisîyarî
answered	verb, bersivdayin
answering	verb, bersivdayin
answers	verb, bersivdayin
ant	ant, gêrîk
antagonise	anˈtagəˌnīz, li dij şerkirin
antagonised	anˈtagəˌnīz, li dij şerkirin
antagonises	anˈtagəˌnīz, li dij şerkirin
antagonising	anˈtagəˌnīz, li dij şerkirin
antagonism	anˈtagəˌnizəm, dijminatî
antagonisms	anˈtagəˌnizəm, dijminatî
antagonize	anˈtagəˌnīz, li dij şerkirin
antagonized	anˈtagəˌnīz, li dij şerkirin
antagonizes	anˈtagəˌnīz, li dij şerkirin
antagonizing	anˈtagəˌnīz, li dij şerkirin
antelope	ˈantlˌōp, xezal
antelopes	noun, xezal
antenna	anˈtenə, antên
antennae	noun, antên
antennas	noun, antên
anthem	ˈanTHəm, marş
anthems	ˈanTHəm, marş
ant hill	noun, girikê gêrîkan
anthill	ˈantˌhil, girikê gêrîkan
anthills	noun, girikê gêrîkan
antibiotic	ˌantēbīˈätik,ˌantī-, antîbîyotîk
antibiotics	noun, antîbîyotîk
anticipate	anˈtisəˌpāt, payin
anticipated	verb, payin
anticipates	anˈtisəˌpāt, payin
anticipating	verb, payin
anticipation	anˌtisəˈpāSHən, payinî
anticipations	anˌtisəˈpāSHən, payinî
antidote	ˈantiˌdōt, dermanê li dijî tiştekî
antidotes	noun, dermanê li dijî tiştekî
antifreeze	ˈantiˌfrēz, dermanê dijî qeşa
antifreezes	ˈantiˌfrēz, dermanê dijî qeşa
antique	anˈtēk, kevnar
antiquities	noun, kevnedem
antiquity	anˈtikwitē, kevnedem
antiseptic	ˌantiˈseptik, antîseptîk
antiseptics	noun, antîseptîk
antlers	noun, qiloç
ants	noun, gêrîk
anus	ˈānəs, qûn
anuses	ˈānəs, qûn
anvil	ˈanvil, hors
anvils	ˈanvil, hors
anxieties	noun, meraq
anxiety	aNGˈzī-itē, meraq
anxious	ˈaNG(k)SHəs, meraqkirî
any	ˈenē, herçiyek
anybody	-ˌbədē,ˈenēˌbädē, herçi kes
anyhow	ˈenēˌhou, herçawa
anything	ˈenēˌTHiNG, hemû
any time	adverb, herdem
anytime	adverb, herdem
anyway	ˈenēˌwā, herçi jî
anywhere	ˈenēˌ(h)we(ə)r, herder
apart	əˈpärt, ji berhev
apartment	əˈpärtmənt, mal
apartments	noun, mal
ape	āp, meymûn
aperitif	-əˌper-,äˌperiˈtēf, pêşxûrek
aperitifs	-əˌper-,äˌperiˈtēf, pêşxûrek
apes	noun, meymûn
apex	ˈāpeks, serînî
apexes	ˈāpeks, serînî
apices	noun, serînî
apologetic	əˌpäləˈjetik, borîne
apologise	əˈpäləˌjīz, borîxwestin
apologised	verb, borîxwestin
apologises	verb, borîxwestin
apologising	verb, borîxwestin
apologize	əˈpäləˌjīz, borîxwestin
apologized	verb, borîxwestin
apologizes	verb, borîxwestin
apologizing	verb, borîxwestin
apology	əˈpäləjē, borî
apostle	əˈpäsəl, rêber
Apostles	noun, rêber
apostles	noun, rêber
apostrophe	əˈpästrəfē, tîpveqetok
apostrophe s	əˈpästrəfē, tîpveqetok
apostrophe-s	əˈpästrəfē, tîpveqetok
apostrophes	əˈpästrəfē, tîpveqetok
appal	verb, xofdan
appalled	verb, xofdan
appalling	əˈpôliNG, xofane
appals	verb, xofdan
apparatus	-ˈrātəs,ˌapəˈratəs, hacet
apparatuses	-ˈrātəs,ˌapəˈratəs, hacet
apparent	əˈparənt,əˈpe(ə)r-, dîyare
